"day","case","new_case","msa"
2020-02-13,0,0,"Houston"
2020-02-14,0,0,"Houston"
2020-02-15,0,0,"Houston"
2020-02-16,0,0,"Houston"
2020-03-30,913,63,"Houston"
2020-03-31,1115,202,"Houston"
2020-04-01,1350,235,"Houston"
2020-04-02,1462,112,"Houston"
2020-04-03,1732,270,"Houston"
2020-04-04,2067,335,"Houston"
2020-04-05,2220,153,"Houston"
2020-02-10,2,0,"Los Angeles"
2020-02-11,2,0,"Los Angeles"
2020-02-12,2,0,"Los Angeles"
2020-02-13,2,0,"Los Angeles"
2020-02-14,2,0,"Los Angeles"
2020-02-15,2,0,"Los Angeles"
2020-02-16,2,0,"Los Angeles"
2020-03-30,2938,371,"Los Angeles"
2020-03-31,3513,575,"Los Angeles"
2020-04-01,4124,611,"Los Angeles"
2020-04-02,4701,577,"Los Angeles"
2020-04-03,5277,576,"Los Angeles"
2020-04-04,6063,786,"Los Angeles"
2020-04-05,6774,711,"Los Angeles"
2020-02-10,0,0,"Miami"
2020-02-11,0,0,"Miami"
2020-02-12,0,0,"Miami"
2020-02-13,0,0,"Miami"
2020-02-14,0,0,"Miami"
2020-02-15,0,0,"Miami"
2020-02-16,0,0,"Miami"
2020-03-30,3299,434,"Miami"
2020-03-31,3893,594,"Miami"
2020-04-01,4379,486,"Miami"
2020-04-02,5101,722,"Miami"
2020-04-03,5817,716,"Miami"
2020-04-04,6606,789,"Miami"
2020-04-05,7029,423,"Miami"
2020-02-10,0,0,"New York"
2020-02-11,0,0,"New York"
2020-02-12,0,0,"New York"
2020-02-13,0,0,"New York"
2020-02-14,0,0,"New York"
2020-02-15,0,0,"New York"
2020-02-16,0,0,"New York"
2020-03-30,75505,9465,"New York"
2020-03-31,85888,10383,"New York"
2020-04-01,95855,9967,"New York"
2020-04-02,106635,10780,"New York"
2020-04-03,120398,13763,"New York"
2020-04-04,136323,15925,"New York"
2020-04-05,146775,10452,"New York"
2020-02-10,0,0,"Philadelphia"
2020-02-11,0,0,"Philadelphia"
2020-02-12,0,0,"Philadelphia"
2020-02-13,0,0,"Philadelphia"
2020-02-14,0,0,"Philadelphia"
2020-02-15,0,0,"Philadelphia"
2020-02-16,0,0,"Philadelphia"
2020-03-30,2949,400,"Philadelphia"
2020-03-31,3468,519,"Philadelphia"
2020-04-01,3973,505,"Philadelphia"
2020-04-02,4728,755,"Philadelphia"
2020-04-03,5658,930,"Philadelphia"
2020-04-04,6661,1003,"Philadelphia"
2020-04-05,7706,1045,"Philadelphia"
2020-02-10,2,0,"San Francisco"
2020-02-11,2,0,"San Francisco"
2020-02-12,2,0,"San Francisco"
2020-02-13,2,0,"San Francisco"
2020-02-14,2,0,"San Francisco"
2020-02-15,2,0,"San Francisco"
2020-02-16,2,0,"San Francisco"
2020-03-30,1273,94,"San Francisco"
2020-03-31,1367,94,"San Francisco"
2020-04-01,1563,196,"San Francisco"
2020-04-02,1714,151,"San Francisco"
2020-04-03,1888,174,"San Francisco"
2020-04-04,2021,133,"San Francisco"
2020-04-05,2240,219,"San Francisco"
2020-02-10,1,0,"Seattle"
2020-02-11,1,0,"Seattle"
2020-02-12,1,0,"Seattle"
2020-02-13,1,0,"Seattle"
2020-02-14,1,0,"Seattle"
2020-02-15,1,0,"Seattle"
2020-02-16,1,0,"Seattle"
2020-03-30,3811,263,"Seattle"
2020-03-31,3913,102,"Seattle"
2020-04-01,4226,313,"Seattle"
2020-04-02,4532,306,"Seattle"
2020-04-03,4816,284,"Seattle"
2020-04-04,5029,213,"Seattle"
2020-04-05,5422,393,"Seattle"
2020-02-10,0,0,"Washington, D.C."
2020-02-11,0,0,"Washington, D.C."
2020-02-12,0,0,"Washington, D.C."
2020-02-13,0,0,"Washington, D.C."
2020-02-14,0,0,"Washington, D.C."
2020-02-15,0,0,"Washington, D.C."
2020-02-16,0,0,"Washington, D.C."
2020-03-30,1639,211,"Washington, D.C."
2020-03-31,1937,298,"Washington, D.C."
2020-04-01,2270,333,"Washington, D.C."
2020-04-02,2572,302,"Washington, D.C."
2020-04-03,2979,407,"Washington, D.C."
2020-04-04,3432,453,"Washington, D.C."
2020-04-05,3897,465,"Washington, D.C."
