"day","case","new_case","msa"
2020-04-24,18819,1108,"Washington, D.C."
2020-04-25,20156,1337,"Washington, D.C."
2020-04-26,21039,883,"Washington, D.C."
2020-04-27,21993,954,"Washington, D.C."
2020-04-28,23046,1053,"Washington, D.C."
2020-04-29,24022,976,"Washington, D.C."
2020-04-30,25222,1200,"Washington, D.C."
2020-05-01,27463,2241,"Washington, D.C."
2020-05-02,28620,1157,"Washington, D.C."
2020-05-03,30062,1442,"Washington, D.C."
