"x","y","cell.index","cell.id","grid_size_km"
30,2,80,"30_2",2
31,2,81,"31_2",2
32,2,82,"32_2",2
33,2,83,"33_2",2
34,2,84,"34_2",2
35,2,85,"35_2",2
36,2,86,"36_2",2
37,2,87,"37_2",2
38,2,88,"38_2",2
39,2,89,"39_2",2
40,2,90,"40_2",2
41,2,91,"41_2",2
42,2,92,"42_2",2
43,2,93,"43_2",2
44,2,94,"44_2",2
45,2,95,"45_2",2
46,2,96,"46_2",2
47,2,97,"47_2",2
48,2,98,"48_2",2
49,2,99,"49_2",2
50,2,100,"50_2",2
1,3,101,"1_3",2
2,3,102,"2_3",2
3,3,103,"3_3",2
4,3,104,"4_3",2
5,3,105,"5_3",2
6,3,106,"6_3",2
7,3,107,"7_3",2
8,3,108,"8_3",2
9,3,109,"9_3",2
10,3,110,"10_3",2
11,3,111,"11_3",2
12,3,112,"12_3",2
13,3,113,"13_3",2
14,3,114,"14_3",2
15,3,115,"15_3",2
16,3,116,"16_3",2
17,3,117,"17_3",2
18,3,118,"18_3",2
19,3,119,"19_3",2
20,3,120,"20_3",2
21,3,121,"21_3",2
22,3,122,"22_3",2
23,3,123,"23_3",2
24,3,124,"24_3",2
25,3,125,"25_3",2
26,3,126,"26_3",2
27,3,127,"27_3",2
28,3,128,"28_3",2
29,3,129,"29_3",2
30,3,130,"30_3",2
31,3,131,"31_3",2
32,3,132,"32_3",2
33,3,133,"33_3",2
34,3,134,"34_3",2
35,3,135,"35_3",2
36,3,136,"36_3",2
37,3,137,"37_3",2
38,3,138,"38_3",2
39,3,139,"39_3",2
40,3,140,"40_3",2
41,3,141,"41_3",2
42,3,142,"42_3",2
43,3,143,"43_3",2
44,3,144,"44_3",2
45,3,145,"45_3",2
46,3,146,"46_3",2
47,3,147,"47_3",2
48,3,148,"48_3",2
49,3,149,"49_3",2
50,3,150,"50_3",2
1,4,151,"1_4",2
2,4,152,"2_4",2
3,4,153,"3_4",2
4,4,154,"4_4",2
5,4,155,"5_4",2
6,4,156,"6_4",2
7,4,157,"7_4",2
8,4,158,"8_4",2
9,4,159,"9_4",2
10,4,160,"10_4",2
11,4,161,"11_4",2
12,4,162,"12_4",2
13,4,163,"13_4",2
14,4,164,"14_4",2
15,4,165,"15_4",2
16,4,166,"16_4",2
17,4,167,"17_4",2
18,4,168,"18_4",2
19,4,169,"19_4",2
20,4,170,"20_4",2
21,4,171,"21_4",2
22,4,172,"22_4",2
23,4,173,"23_4",2
24,4,174,"24_4",2
25,4,175,"25_4",2
26,4,176,"26_4",2
27,4,177,"27_4",2
28,4,178,"28_4",2
29,4,179,"29_4",2
30,4,180,"30_4",2
31,4,181,"31_4",2
32,4,182,"32_4",2
33,4,183,"33_4",2
34,4,184,"34_4",2
35,4,185,"35_4",2
36,4,186,"36_4",2
37,4,187,"37_4",2
38,4,188,"38_4",2
39,4,189,"39_4",2
40,4,190,"40_4",2
41,4,191,"41_4",2
42,4,192,"42_4",2
43,4,193,"43_4",2
44,4,194,"44_4",2
45,4,195,"45_4",2
46,4,196,"46_4",2
47,4,197,"47_4",2
48,4,198,"48_4",2
49,4,199,"49_4",2
50,4,200,"50_4",2
1,5,201,"1_5",2
2,5,202,"2_5",2
3,5,203,"3_5",2
4,5,204,"4_5",2
5,5,205,"5_5",2
6,5,206,"6_5",2
7,5,207,"7_5",2
8,5,208,"8_5",2
9,5,209,"9_5",2
10,5,210,"10_5",2
11,5,211,"11_5",2
12,5,212,"12_5",2
13,5,213,"13_5",2
14,5,214,"14_5",2
15,5,215,"15_5",2
16,5,216,"16_5",2
17,5,217,"17_5",2
18,5,218,"18_5",2
19,5,219,"19_5",2
20,5,220,"20_5",2
21,5,221,"21_5",2
22,5,222,"22_5",2
23,5,223,"23_5",2
24,5,224,"24_5",2
25,5,225,"25_5",2
26,5,226,"26_5",2
27,5,227,"27_5",2
28,5,228,"28_5",2
29,5,229,"29_5",2
30,5,230,"30_5",2
31,5,231,"31_5",2
32,5,232,"32_5",2
33,5,233,"33_5",2
34,5,234,"34_5",2
35,5,235,"35_5",2
36,5,236,"36_5",2
37,5,237,"37_5",2
38,5,238,"38_5",2
39,5,239,"39_5",2
40,5,240,"40_5",2
41,5,241,"41_5",2
42,5,242,"42_5",2
43,5,243,"43_5",2
44,5,244,"44_5",2
45,5,245,"45_5",2
46,5,246,"46_5",2
47,5,247,"47_5",2
48,5,248,"48_5",2
49,5,249,"49_5",2
50,5,250,"50_5",2
1,6,251,"1_6",2
2,6,252,"2_6",2
3,6,253,"3_6",2
4,6,254,"4_6",2
5,6,255,"5_6",2
6,6,256,"6_6",2
7,6,257,"7_6",2
8,6,258,"8_6",2
9,6,259,"9_6",2
10,6,260,"10_6",2
11,6,261,"11_6",2
12,6,262,"12_6",2
13,6,263,"13_6",2
14,6,264,"14_6",2
15,6,265,"15_6",2
16,6,266,"16_6",2
17,6,267,"17_6",2
18,6,268,"18_6",2
19,6,269,"19_6",2
20,6,270,"20_6",2
21,6,271,"21_6",2
22,6,272,"22_6",2
23,6,273,"23_6",2
24,6,274,"24_6",2
25,6,275,"25_6",2
26,6,276,"26_6",2
27,6,277,"27_6",2
28,6,278,"28_6",2
29,6,279,"29_6",2
30,6,280,"30_6",2
31,6,281,"31_6",2
32,6,282,"32_6",2
33,6,283,"33_6",2
34,6,284,"34_6",2
35,6,285,"35_6",2
36,6,286,"36_6",2
37,6,287,"37_6",2
38,6,288,"38_6",2
39,6,289,"39_6",2
40,6,290,"40_6",2
41,6,291,"41_6",2
42,6,292,"42_6",2
43,6,293,"43_6",2
44,6,294,"44_6",2
45,6,295,"45_6",2
46,6,296,"46_6",2
47,6,297,"47_6",2
48,6,298,"48_6",2
49,6,299,"49_6",2
50,6,300,"50_6",2
1,7,301,"1_7",2
2,7,302,"2_7",2
3,7,303,"3_7",2
4,7,304,"4_7",2
5,7,305,"5_7",2
6,7,306,"6_7",2
7,7,307,"7_7",2
8,7,308,"8_7",2
9,7,309,"9_7",2
10,7,310,"10_7",2
11,7,311,"11_7",2
12,7,312,"12_7",2
13,7,313,"13_7",2
14,7,314,"14_7",2
15,7,315,"15_7",2
16,7,316,"16_7",2
17,7,317,"17_7",2
18,7,318,"18_7",2
19,7,319,"19_7",2
20,7,320,"20_7",2
21,7,321,"21_7",2
22,7,322,"22_7",2
23,7,323,"23_7",2
24,7,324,"24_7",2
25,7,325,"25_7",2
26,7,326,"26_7",2
27,7,327,"27_7",2
28,7,328,"28_7",2
29,7,329,"29_7",2
30,7,330,"30_7",2
31,7,331,"31_7",2
32,7,332,"32_7",2
33,7,333,"33_7",2
34,7,334,"34_7",2
35,7,335,"35_7",2
36,7,336,"36_7",2
37,7,337,"37_7",2
38,7,338,"38_7",2
39,7,339,"39_7",2
40,7,340,"40_7",2
41,7,341,"41_7",2
42,7,342,"42_7",2
43,7,343,"43_7",2
44,7,344,"44_7",2
45,7,345,"45_7",2
46,7,346,"46_7",2
47,7,347,"47_7",2
48,7,348,"48_7",2
49,7,349,"49_7",2
50,7,350,"50_7",2
1,8,351,"1_8",2
2,8,352,"2_8",2
3,8,353,"3_8",2
4,8,354,"4_8",2
5,8,355,"5_8",2
6,8,356,"6_8",2
7,8,357,"7_8",2
8,8,358,"8_8",2
9,8,359,"9_8",2
10,8,360,"10_8",2
11,8,361,"11_8",2
12,8,362,"12_8",2
13,8,363,"13_8",2
14,8,364,"14_8",2
15,8,365,"15_8",2
16,8,366,"16_8",2
17,8,367,"17_8",2
18,8,368,"18_8",2
19,8,369,"19_8",2
20,8,370,"20_8",2
21,8,371,"21_8",2
22,8,372,"22_8",2
23,8,373,"23_8",2
24,8,374,"24_8",2
25,8,375,"25_8",2
26,8,376,"26_8",2
27,8,377,"27_8",2
28,8,378,"28_8",2
29,8,379,"29_8",2
30,8,380,"30_8",2
31,8,381,"31_8",2
32,8,382,"32_8",2
33,8,383,"33_8",2
34,8,384,"34_8",2
35,8,385,"35_8",2
36,8,386,"36_8",2
37,8,387,"37_8",2
38,8,388,"38_8",2
39,8,389,"39_8",2
40,8,390,"40_8",2
41,8,391,"41_8",2
42,8,392,"42_8",2
43,8,393,"43_8",2
44,8,394,"44_8",2
45,8,395,"45_8",2
46,8,396,"46_8",2
47,8,397,"47_8",2
48,8,398,"48_8",2
49,8,399,"49_8",2
50,8,400,"50_8",2
1,9,401,"1_9",2
2,9,402,"2_9",2
3,9,403,"3_9",2
4,9,404,"4_9",2
5,9,405,"5_9",2
6,9,406,"6_9",2
7,9,407,"7_9",2
8,9,408,"8_9",2
9,9,409,"9_9",2
10,9,410,"10_9",2
11,9,411,"11_9",2
12,9,412,"12_9",2
13,9,413,"13_9",2
14,9,414,"14_9",2
15,9,415,"15_9",2
16,9,416,"16_9",2
17,9,417,"17_9",2
18,9,418,"18_9",2
19,9,419,"19_9",2
20,9,420,"20_9",2
21,9,421,"21_9",2
22,9,422,"22_9",2
23,9,423,"23_9",2
24,9,424,"24_9",2
25,9,425,"25_9",2
26,9,426,"26_9",2
27,9,427,"27_9",2
28,9,428,"28_9",2
29,9,429,"29_9",2
30,9,430,"30_9",2
31,9,431,"31_9",2
32,9,432,"32_9",2
33,9,433,"33_9",2
34,9,434,"34_9",2
35,9,435,"35_9",2
36,9,436,"36_9",2
37,9,437,"37_9",2
38,9,438,"38_9",2
39,9,439,"39_9",2
40,9,440,"40_9",2
41,9,441,"41_9",2
42,9,442,"42_9",2
43,9,443,"43_9",2
44,9,444,"44_9",2
45,9,445,"45_9",2
46,9,446,"46_9",2
47,9,447,"47_9",2
48,9,448,"48_9",2
49,9,449,"49_9",2
50,9,450,"50_9",2
1,10,451,"1_10",2
2,10,452,"2_10",2
3,10,453,"3_10",2
4,10,454,"4_10",2
5,10,455,"5_10",2
6,10,456,"6_10",2
7,10,457,"7_10",2
8,10,458,"8_10",2
9,10,459,"9_10",2
10,10,460,"10_10",2
11,10,461,"11_10",2
12,10,462,"12_10",2
13,10,463,"13_10",2
14,10,464,"14_10",2
15,10,465,"15_10",2
16,10,466,"16_10",2
17,10,467,"17_10",2
18,10,468,"18_10",2
19,10,469,"19_10",2
20,10,470,"20_10",2
21,10,471,"21_10",2
22,10,472,"22_10",2
23,10,473,"23_10",2
24,10,474,"24_10",2
25,10,475,"25_10",2
26,10,476,"26_10",2
27,10,477,"27_10",2
28,10,478,"28_10",2
29,10,479,"29_10",2
30,10,480,"30_10",2
31,10,481,"31_10",2
32,10,482,"32_10",2
33,10,483,"33_10",2
34,10,484,"34_10",2
35,10,485,"35_10",2
36,10,486,"36_10",2
37,10,487,"37_10",2
38,10,488,"38_10",2
39,10,489,"39_10",2
40,10,490,"40_10",2
41,10,491,"41_10",2
42,10,492,"42_10",2
43,10,493,"43_10",2
44,10,494,"44_10",2
45,10,495,"45_10",2
46,10,496,"46_10",2
47,10,497,"47_10",2
48,10,498,"48_10",2
49,10,499,"49_10",2
50,10,500,"50_10",2
1,11,501,"1_11",2
2,11,502,"2_11",2
3,11,503,"3_11",2
4,11,504,"4_11",2
5,11,505,"5_11",2
6,11,506,"6_11",2
7,11,507,"7_11",2
8,11,508,"8_11",2
9,11,509,"9_11",2
10,11,510,"10_11",2
11,11,511,"11_11",2
12,11,512,"12_11",2
13,11,513,"13_11",2
14,11,514,"14_11",2
15,11,515,"15_11",2
16,11,516,"16_11",2
17,11,517,"17_11",2
18,11,518,"18_11",2
19,11,519,"19_11",2
20,11,520,"20_11",2
21,11,521,"21_11",2
22,11,522,"22_11",2
23,11,523,"23_11",2
24,11,524,"24_11",2
25,11,525,"25_11",2
26,11,526,"26_11",2
27,11,527,"27_11",2
28,11,528,"28_11",2
29,11,529,"29_11",2
30,11,530,"30_11",2
31,11,531,"31_11",2
32,11,532,"32_11",2
33,11,533,"33_11",2
34,11,534,"34_11",2
35,11,535,"35_11",2
36,11,536,"36_11",2
37,11,537,"37_11",2
38,11,538,"38_11",2
39,11,539,"39_11",2
40,11,540,"40_11",2
41,11,541,"41_11",2
42,11,542,"42_11",2
43,11,543,"43_11",2
44,11,544,"44_11",2
45,11,545,"45_11",2
46,11,546,"46_11",2
47,11,547,"47_11",2
48,11,548,"48_11",2
49,11,549,"49_11",2
50,11,550,"50_11",2
1,12,551,"1_12",2
2,12,552,"2_12",2
3,12,553,"3_12",2
4,12,554,"4_12",2
5,12,555,"5_12",2
6,12,556,"6_12",2
7,12,557,"7_12",2
8,12,558,"8_12",2
9,12,559,"9_12",2
10,12,560,"10_12",2
11,12,561,"11_12",2
12,12,562,"12_12",2
13,12,563,"13_12",2
14,12,564,"14_12",2
15,12,565,"15_12",2
16,12,566,"16_12",2
17,12,567,"17_12",2
18,12,568,"18_12",2
19,12,569,"19_12",2
20,12,570,"20_12",2
21,12,571,"21_12",2
22,12,572,"22_12",2
23,12,573,"23_12",2
24,12,574,"24_12",2
25,12,575,"25_12",2
26,12,576,"26_12",2
27,12,577,"27_12",2
28,12,578,"28_12",2
29,12,579,"29_12",2
30,12,580,"30_12",2
31,12,581,"31_12",2
32,12,582,"32_12",2
33,12,583,"33_12",2
34,12,584,"34_12",2
35,12,585,"35_12",2
36,12,586,"36_12",2
37,12,587,"37_12",2
38,12,588,"38_12",2
39,12,589,"39_12",2
40,12,590,"40_12",2
41,12,591,"41_12",2
42,12,592,"42_12",2
43,12,593,"43_12",2
44,12,594,"44_12",2
45,12,595,"45_12",2
46,12,596,"46_12",2
47,12,597,"47_12",2
48,12,598,"48_12",2
49,12,599,"49_12",2
50,12,600,"50_12",2
1,13,601,"1_13",2
2,13,602,"2_13",2
3,13,603,"3_13",2
4,13,604,"4_13",2
5,13,605,"5_13",2
6,13,606,"6_13",2
7,13,607,"7_13",2
8,13,608,"8_13",2
9,13,609,"9_13",2
10,13,610,"10_13",2
11,13,611,"11_13",2
12,13,612,"12_13",2
13,13,613,"13_13",2
14,13,614,"14_13",2
15,13,615,"15_13",2
16,13,616,"16_13",2
17,13,617,"17_13",2
18,13,618,"18_13",2
19,13,619,"19_13",2
20,13,620,"20_13",2
21,13,621,"21_13",2
22,13,622,"22_13",2
23,13,623,"23_13",2
24,13,624,"24_13",2
25,13,625,"25_13",2
26,13,626,"26_13",2
27,13,627,"27_13",2
28,13,628,"28_13",2
29,13,629,"29_13",2
30,13,630,"30_13",2
31,13,631,"31_13",2
32,13,632,"32_13",2
33,13,633,"33_13",2
34,13,634,"34_13",2
35,13,635,"35_13",2
36,13,636,"36_13",2
37,13,637,"37_13",2
38,13,638,"38_13",2
39,13,639,"39_13",2
40,13,640,"40_13",2
41,13,641,"41_13",2
42,13,642,"42_13",2
43,13,643,"43_13",2
44,13,644,"44_13",2
45,13,645,"45_13",2
46,13,646,"46_13",2
47,13,647,"47_13",2
48,13,648,"48_13",2
49,13,649,"49_13",2
50,13,650,"50_13",2
1,14,651,"1_14",2
2,14,652,"2_14",2
3,14,653,"3_14",2
4,14,654,"4_14",2
5,14,655,"5_14",2
6,14,656,"6_14",2
7,14,657,"7_14",2
8,14,658,"8_14",2
9,14,659,"9_14",2
10,14,660,"10_14",2
11,14,661,"11_14",2
12,14,662,"12_14",2
13,14,663,"13_14",2
14,14,664,"14_14",2
15,14,665,"15_14",2
16,14,666,"16_14",2
17,14,667,"17_14",2
18,14,668,"18_14",2
19,14,669,"19_14",2
20,14,670,"20_14",2
21,14,671,"21_14",2
22,14,672,"22_14",2
23,14,673,"23_14",2
24,14,674,"24_14",2
25,14,675,"25_14",2
26,14,676,"26_14",2
27,14,677,"27_14",2
28,14,678,"28_14",2
29,14,679,"29_14",2
30,14,680,"30_14",2
31,14,681,"31_14",2
32,14,682,"32_14",2
33,14,683,"33_14",2
34,14,684,"34_14",2
35,14,685,"35_14",2
36,14,686,"36_14",2
37,14,687,"37_14",2
38,14,688,"38_14",2
39,14,689,"39_14",2
40,14,690,"40_14",2
41,14,691,"41_14",2
42,14,692,"42_14",2
43,14,693,"43_14",2
44,14,694,"44_14",2
45,14,695,"45_14",2
46,14,696,"46_14",2
47,14,697,"47_14",2
48,14,698,"48_14",2
49,14,699,"49_14",2
50,14,700,"50_14",2
1,15,701,"1_15",2
2,15,702,"2_15",2
3,15,703,"3_15",2
4,15,704,"4_15",2
5,15,705,"5_15",2
6,15,706,"6_15",2
7,15,707,"7_15",2
8,15,708,"8_15",2
9,15,709,"9_15",2
10,15,710,"10_15",2
11,15,711,"11_15",2
12,15,712,"12_15",2
13,15,713,"13_15",2
14,15,714,"14_15",2
15,15,715,"15_15",2
16,15,716,"16_15",2
17,15,717,"17_15",2
18,15,718,"18_15",2
19,15,719,"19_15",2
20,15,720,"20_15",2
21,15,721,"21_15",2
22,15,722,"22_15",2
23,15,723,"23_15",2
24,15,724,"24_15",2
25,15,725,"25_15",2
26,15,726,"26_15",2
27,15,727,"27_15",2
28,15,728,"28_15",2
29,15,729,"29_15",2
30,15,730,"30_15",2
31,15,731,"31_15",2
32,15,732,"32_15",2
33,15,733,"33_15",2
34,15,734,"34_15",2
35,15,735,"35_15",2
36,15,736,"36_15",2
37,15,737,"37_15",2
38,15,738,"38_15",2
39,15,739,"39_15",2
40,15,740,"40_15",2
41,15,741,"41_15",2
42,15,742,"42_15",2
43,15,743,"43_15",2
44,15,744,"44_15",2
45,15,745,"45_15",2
46,15,746,"46_15",2
47,15,747,"47_15",2
48,15,748,"48_15",2
49,15,749,"49_15",2
50,15,750,"50_15",2
1,16,751,"1_16",2
2,16,752,"2_16",2
3,16,753,"3_16",2
4,16,754,"4_16",2
5,16,755,"5_16",2
6,16,756,"6_16",2
7,16,757,"7_16",2
8,16,758,"8_16",2
9,16,759,"9_16",2
10,16,760,"10_16",2
11,16,761,"11_16",2
12,16,762,"12_16",2
13,16,763,"13_16",2
14,16,764,"14_16",2
15,16,765,"15_16",2
16,16,766,"16_16",2
17,16,767,"17_16",2
18,16,768,"18_16",2
19,16,769,"19_16",2
20,16,770,"20_16",2
21,16,771,"21_16",2
22,16,772,"22_16",2
23,16,773,"23_16",2
24,16,774,"24_16",2
25,16,775,"25_16",2
26,16,776,"26_16",2
27,16,777,"27_16",2
28,16,778,"28_16",2
29,16,779,"29_16",2
30,16,780,"30_16",2
31,16,781,"31_16",2
32,16,782,"32_16",2
33,16,783,"33_16",2
34,16,784,"34_16",2
35,16,785,"35_16",2
36,16,786,"36_16",2
37,16,787,"37_16",2
38,16,788,"38_16",2
39,16,789,"39_16",2
40,16,790,"40_16",2
41,16,791,"41_16",2
42,16,792,"42_16",2
43,16,793,"43_16",2
44,16,794,"44_16",2
45,16,795,"45_16",2
46,16,796,"46_16",2
47,16,797,"47_16",2
48,16,798,"48_16",2
49,16,799,"49_16",2
50,16,800,"50_16",2
1,17,801,"1_17",2
2,17,802,"2_17",2
3,17,803,"3_17",2
4,17,804,"4_17",2
5,17,805,"5_17",2
6,17,806,"6_17",2
7,17,807,"7_17",2
8,17,808,"8_17",2
9,17,809,"9_17",2
10,17,810,"10_17",2
11,17,811,"11_17",2
12,17,812,"12_17",2
13,17,813,"13_17",2
14,17,814,"14_17",2
15,17,815,"15_17",2
16,17,816,"16_17",2
17,17,817,"17_17",2
18,17,818,"18_17",2
19,17,819,"19_17",2
20,17,820,"20_17",2
21,17,821,"21_17",2
22,17,822,"22_17",2
23,17,823,"23_17",2
24,17,824,"24_17",2
25,17,825,"25_17",2
26,17,826,"26_17",2
27,17,827,"27_17",2
28,17,828,"28_17",2
29,17,829,"29_17",2
30,17,830,"30_17",2
31,17,831,"31_17",2
32,17,832,"32_17",2
33,17,833,"33_17",2
34,17,834,"34_17",2
35,17,835,"35_17",2
36,17,836,"36_17",2
37,17,837,"37_17",2
38,17,838,"38_17",2
39,17,839,"39_17",2
40,17,840,"40_17",2
41,17,841,"41_17",2
42,17,842,"42_17",2
43,17,843,"43_17",2
44,17,844,"44_17",2
45,17,845,"45_17",2
46,17,846,"46_17",2
47,17,847,"47_17",2
48,17,848,"48_17",2
49,17,849,"49_17",2
50,17,850,"50_17",2
1,18,851,"1_18",2
2,18,852,"2_18",2
3,18,853,"3_18",2
4,18,854,"4_18",2
5,18,855,"5_18",2
6,18,856,"6_18",2
7,18,857,"7_18",2
8,18,858,"8_18",2
9,18,859,"9_18",2
10,18,860,"10_18",2
11,18,861,"11_18",2
12,18,862,"12_18",2
13,18,863,"13_18",2
14,18,864,"14_18",2
15,18,865,"15_18",2
16,18,866,"16_18",2
17,18,867,"17_18",2
18,18,868,"18_18",2
19,18,869,"19_18",2
20,18,870,"20_18",2
21,18,871,"21_18",2
22,18,872,"22_18",2
23,18,873,"23_18",2
24,18,874,"24_18",2
25,18,875,"25_18",2
26,18,876,"26_18",2
27,18,877,"27_18",2
28,18,878,"28_18",2
29,18,879,"29_18",2
30,18,880,"30_18",2
31,18,881,"31_18",2
32,18,882,"32_18",2
33,18,883,"33_18",2
34,18,884,"34_18",2
35,18,885,"35_18",2
36,18,886,"36_18",2
37,18,887,"37_18",2
38,18,888,"38_18",2
39,18,889,"39_18",2
40,18,890,"40_18",2
41,18,891,"41_18",2
42,18,892,"42_18",2
43,18,893,"43_18",2
44,18,894,"44_18",2
45,18,895,"45_18",2
46,18,896,"46_18",2
47,18,897,"47_18",2
48,18,898,"48_18",2
49,18,899,"49_18",2
50,18,900,"50_18",2
1,19,901,"1_19",2
2,19,902,"2_19",2
3,19,903,"3_19",2
4,19,904,"4_19",2
5,19,905,"5_19",2
6,19,906,"6_19",2
7,19,907,"7_19",2
8,19,908,"8_19",2
9,19,909,"9_19",2
10,19,910,"10_19",2
11,19,911,"11_19",2
12,19,912,"12_19",2
13,19,913,"13_19",2
14,19,914,"14_19",2
15,19,915,"15_19",2
16,19,916,"16_19",2
17,19,917,"17_19",2
18,19,918,"18_19",2
19,19,919,"19_19",2
20,19,920,"20_19",2
21,19,921,"21_19",2
22,19,922,"22_19",2
23,19,923,"23_19",2
24,19,924,"24_19",2
25,19,925,"25_19",2
26,19,926,"26_19",2
27,19,927,"27_19",2
28,19,928,"28_19",2
29,19,929,"29_19",2
30,19,930,"30_19",2
31,19,931,"31_19",2
32,19,932,"32_19",2
33,19,933,"33_19",2
34,19,934,"34_19",2
35,19,935,"35_19",2
36,19,936,"36_19",2
37,19,937,"37_19",2
38,19,938,"38_19",2
39,19,939,"39_19",2
40,19,940,"40_19",2
41,19,941,"41_19",2
42,19,942,"42_19",2
43,19,943,"43_19",2
44,19,944,"44_19",2
45,19,945,"45_19",2
46,19,946,"46_19",2
47,19,947,"47_19",2
48,19,948,"48_19",2
49,19,949,"49_19",2
50,19,950,"50_19",2
1,20,951,"1_20",2
2,20,952,"2_20",2
3,20,953,"3_20",2
4,20,954,"4_20",2
5,20,955,"5_20",2
6,20,956,"6_20",2
7,20,957,"7_20",2
8,20,958,"8_20",2
9,20,959,"9_20",2
10,20,960,"10_20",2
11,20,961,"11_20",2
12,20,962,"12_20",2
13,20,963,"13_20",2
14,20,964,"14_20",2
15,20,965,"15_20",2
16,20,966,"16_20",2
17,20,967,"17_20",2
18,20,968,"18_20",2
19,20,969,"19_20",2
20,20,970,"20_20",2
21,20,971,"21_20",2
22,20,972,"22_20",2
23,20,973,"23_20",2
24,20,974,"24_20",2
25,20,975,"25_20",2
26,20,976,"26_20",2
27,20,977,"27_20",2
28,20,978,"28_20",2
29,20,979,"29_20",2
30,20,980,"30_20",2
31,20,981,"31_20",2
32,20,982,"32_20",2
33,20,983,"33_20",2
34,20,984,"34_20",2
35,20,985,"35_20",2
36,20,986,"36_20",2
37,20,987,"37_20",2
38,20,988,"38_20",2
39,20,989,"39_20",2
40,20,990,"40_20",2
41,20,991,"41_20",2
42,20,992,"42_20",2
43,20,993,"43_20",2
44,20,994,"44_20",2
45,20,995,"45_20",2
46,20,996,"46_20",2
47,20,997,"47_20",2
48,20,998,"48_20",2
49,20,999,"49_20",2
50,20,1000,"50_20",2
1,21,1001,"1_21",2
2,21,1002,"2_21",2
3,21,1003,"3_21",2
4,21,1004,"4_21",2
5,21,1005,"5_21",2
6,21,1006,"6_21",2
7,21,1007,"7_21",2
8,21,1008,"8_21",2
9,21,1009,"9_21",2
10,21,1010,"10_21",2
11,21,1011,"11_21",2
12,21,1012,"12_21",2
13,21,1013,"13_21",2
14,21,1014,"14_21",2
15,21,1015,"15_21",2
16,21,1016,"16_21",2
17,21,1017,"17_21",2
18,21,1018,"18_21",2
19,21,1019,"19_21",2
20,21,1020,"20_21",2
21,21,1021,"21_21",2
22,21,1022,"22_21",2
23,21,1023,"23_21",2
24,21,1024,"24_21",2
25,21,1025,"25_21",2
26,21,1026,"26_21",2
27,21,1027,"27_21",2
28,21,1028,"28_21",2
29,21,1029,"29_21",2
30,21,1030,"30_21",2
31,21,1031,"31_21",2
32,21,1032,"32_21",2
33,21,1033,"33_21",2
34,21,1034,"34_21",2
35,21,1035,"35_21",2
36,21,1036,"36_21",2
37,21,1037,"37_21",2
38,21,1038,"38_21",2
39,21,1039,"39_21",2
40,21,1040,"40_21",2
41,21,1041,"41_21",2
42,21,1042,"42_21",2
43,21,1043,"43_21",2
44,21,1044,"44_21",2
45,21,1045,"45_21",2
46,21,1046,"46_21",2
47,21,1047,"47_21",2
48,21,1048,"48_21",2
49,21,1049,"49_21",2
50,21,1050,"50_21",2
1,22,1051,"1_22",2
2,22,1052,"2_22",2
3,22,1053,"3_22",2
4,22,1054,"4_22",2
5,22,1055,"5_22",2
6,22,1056,"6_22",2
7,22,1057,"7_22",2
8,22,1058,"8_22",2
9,22,1059,"9_22",2
10,22,1060,"10_22",2
11,22,1061,"11_22",2
12,22,1062,"12_22",2
13,22,1063,"13_22",2
14,22,1064,"14_22",2
15,22,1065,"15_22",2
16,22,1066,"16_22",2
17,22,1067,"17_22",2
18,22,1068,"18_22",2
