place_fips,place_name,total_population
1245000,"Miami city, Florida",454279
1245025,"Miami Beach city, Florida",90108
1245060,"Miami Gardens city, Florida",111363
1245100,"Miami Lakes town, Florida",30864
1245175,"Miami Shores village, Florida",10459
1245200,"Miami Springs city, Florida",14146
1245225,"Micanopy town, Florida",542
1245275,"Micco CDP, Florida",9047
1245350,"Middleburg CDP, Florida",14111
1245425,"Midway city, Florida",3221
1245465,"Midway CDP (Santa Rosa County), Florida",17760
1245475,"Midway CDP (Seminole County), Florida",1592
1245750,"Milton city, Florida",9995
1245775,"Mims CDP, Florida",6375
1245900,"Minneola city, Florida",11559
1245975,"Miramar city, Florida",139468
1246000,"Miramar Beach CDP, Florida",8356
1246225,"Molino CDP, Florida",1202
1246500,"Monticello city, Florida",2248
1246520,"Montura CDP, Florida",3425
1246525,"Montverde town, Florida",1633
1246540,"Moon Lake CDP, Florida",4312
1246550,"Moore Haven city, Florida",2599
1246725,"Morriston CDP, Florida",126
1247000,"Mount Carmel CDP, Florida",161
1247050,"Mount Dora city, Florida",13897
1247125,"Mount Plymouth CDP, Florida",4757
1247175,"Mulat CDP, Florida",243
1247200,"Mulberry city, Florida",4124
1247300,"Munson CDP, Florida",225
1247550,"Myrtle Grove CDP, Florida",16875
1247625,"Naples city, Florida",21812
1247650,"Naples Manor CDP, Florida",6507
1247675,"Naples Park CDP, Florida",5733
1247700,"Naranja CDP, Florida",11778
1247787,"Nassau Village-Ratliff CDP, Florida",4801
1248050,"Navarre CDP, Florida",37362
1248055,"Navarre Beach CDP, Florida",1150
1248100,"Neptune Beach city, Florida",7101
1248200,"Newberry city, Florida",5944
1248500,"New Port Richey city, Florida",16223
1248525,"New Port Richey East CDP, Florida",10398
1248625,"New Smyrna Beach city, Florida",26457
1248750,"Niceville city, Florida",15386
1248825,"Nobleton CDP, Florida",104
1248850,"Nocatee CDP, Florida",14747
1248875,"Nokomis CDP, Florida",3355
1248900,"Noma town, Florida",251
1249225,"North Bay Village city, Florida",8161
1249237,"North Brooksville CDP, Florida",3161
1249260,"Northdale CDP, Florida",23510
1249275,"North DeLand CDP, Florida",1400
1249350,"North Fort Myers CDP, Florida",42770
1249406,"North Key Largo CDP, Florida",886
1249425,"North Lauderdale city, Florida",44020
1249450,"North Miami city, Florida",62489
1249475,"North Miami Beach city, Florida",42971
1249600,"North Palm Beach village, Florida",13029
1249675,"North Port city, Florida",66410
1249725,"North Redington Beach town, Florida",1242
1249750,"North River Shores CDP, Florida",3874
1249787,"North Sarasota CDP, Florida",8806
1249905,"North Weeki Wachee CDP, Florida",8238
1250450,"Oak Hill city, Florida",2082
1250525,"Oakland town, Florida",3014
1250575,"Oakland Park city, Florida",44699
1250630,"Oakleaf Plantation CDP, Florida",28237
1250638,"Oak Ridge CDP, Florida",24004
1250750,"Ocala city, Florida",59267
1250875,"Ocean Breeze town, Florida",195
1250925,"Ocean City CDP, Florida",6249
1250950,"Ocean Ridge town, Florida",1579
1251075,"Ocoee city, Florida",46305
1251100,"Odessa CDP, Florida",8036
1251125,"Ojus CDP, Florida",16417
1251150,"Okahumpka CDP, Florida",193
1251200,"Okeechobee city, Florida",5724
1251350,"Oldsmar city, Florida",14657
1251400,"Olga CDP, Florida",2333
1251475,"Olympia Heights CDP, Florida",13958
1251500,"Ona CDP, Florida",658
1251650,"Opa-locka city, Florida",16149
1251825,"Orange City city, Florida",11990
1252125,"Orange Park town, Florida",8734
1252162,"Orangetree CDP, Florida",4989
1252175,"Orchid town, Florida",516
1252250,"Oriole Beach CDP, Florida",1815
1253000,"Orlando city, Florida",280832
1253100,"Orlovista CDP, Florida",6416
1253150,"Ormond Beach city, Florida",42545
1253200,"Ormond-by-the-Sea CDP, Florida",7268
1253425,"Osprey CDP, Florida",6931
1253500,"Otter Creek town, Florida",49
1253575,"Oviedo city, Florida",40370
1253725,"Pace CDP, Florida",22860
1253775,"Page Park CDP, Florida",490
1253800,"Pahokee city, Florida",6269
1253850,"Paisley CDP, Florida",1479
1253875,"Palatka city, Florida",10363
1254000,"Palm Bay city, Florida",111997
1254025,"Palm Beach town, Florida",8723
1254075,"Palm Beach Gardens city, Florida",56219
1254150,"Palm Beach Shores town, Florida",1136
1254175,"Palm City CDP, Florida",24840
1254200,"Palm Coast city, Florida",85933
1254250,"Palmetto city, Florida",13611
1254275,"Palmetto Bay village, Florida",24333
1254300,"Palmetto Estates CDP, Florida",15640
1254350,"Palm Harbor CDP, Florida",62310
1254357,"Palmona Park CDP, Florida",1209
1254387,"Palm River-Clair Mel CDP, Florida",23844
1254425,"Palm Shores town, Florida",1226
1254450,"Palm Springs village, Florida",24843
1254500,"Palm Springs North CDP, Florida",5525
1254525,"Palm Valley CDP, Florida",21292
1254625,"Panacea CDP, Florida",910
1254700,"Panama City city, Florida",36640
1254725,"Panama City Beach city, Florida",12751
1254912,"Paradise Heights CDP, Florida",609
1255075,"Parker city, Florida",4545
1255125,"Parkland city, Florida",31454
1255305,"Pasadena Hills CDP, Florida",10530
1255375,"Patrick AFB CDP, Florida",1533
1255475,"Paxton town, Florida",743
1255532,"Pea Ridge CDP, Florida",4641
1255540,"Pebble Creek CDP, Florida",10249
1255650,"Pelican Bay CDP, Florida",6140
1255750,"Pembroke Park town, Florida",6677
1255775,"Pembroke Pines city, Florida",170072
1255875,"Penney Farms town, Florida",683
1255925,"Pensacola city, Florida",52642
1256150,"Perry city, Florida",6896
1256425,"Pierson town, Florida",1518
1256475,"Pine Air CDP, Florida",2317
1256500,"Pine Castle CDP, Florida",10474
1256625,"Pinecrest village, Florida",19244
1256825,"Pine Hills CDP, Florida",78995
1256840,"Pine Island CDP, Florida",49
1256850,"Pine Island Center CDP, Florida",2175
1256865,"Pine Lakes CDP, Florida",540
1256875,"Pineland CDP, Florida",320
1256955,"Pine Level CDP, Florida",141
1256975,"Pinellas Park city, Florida",52857
1257025,"Pine Manor CDP, Florida",4993
1257058,"Pine Ridge CDP (Citrus County), Florida",10278
1257066,"Pine Ridge CDP (Collier County), Florida",1662
1257250,"Pinewood CDP, Florida",17542
1257320,"Pioneer CDP, Florida",420
1257380,"Pittman CDP, Florida",315
1257425,"Plantation city, Florida",93449
1257450,"Plantation CDP, Florida",5026
1257492,"Plantation Island CDP, Florida",14
1257518,"Plantation Mobile Home Park CDP, Florida",1969
1257550,"Plant City city, Florida",39012
1257900,"Poinciana CDP, Florida",69955
1257908,"Point Baker CDP, Florida",3441
1257950,"Polk City town, Florida",2226
1258025,"Pomona Park town, Florida",1120
1258050,"Pompano Beach city, Florida",110062
1258175,"Ponce de Leon town, Florida",498
1258200,"Ponce Inlet town, Florida",3230
1258350,"Port Charlotte CDP, Florida",62327
1258420,"Port LaBelle CDP, Florida",5348
1258575,"Port Orange city, Florida",62726
1258600,"Port Richey city, Florida",2831
1258675,"Port St. Joe city, Florida",3488
1258700,"Port St. John CDP, Florida",11684
1258715,"Port St. Lucie city, Florida",189396
1258727,"Port Salerno CDP, Florida",11486
1258962,"Pretty Bayou CDP, Florida",3293
1258975,"Princeton CDP, Florida",32299
1259050,"Progress Village CDP, Florida",10020
1259200,"Punta Gorda city, Florida",19571
1259250,"Punta Rassa CDP, Florida",1697
1259311,"Quail Ridge CDP, Florida",2267
1259325,"Quincy city, Florida",7334
1259400,"Raiford town, Florida",212
1259475,"Raleigh CDP, Florida",766
1259675,"Reddick town, Florida",592
1259725,"Redington Beach town, Florida",1293
1259750,"Redington Shores town, Florida",2176
1260225,"Richmond Heights CDP, Florida",10524
1260230,"Richmond West CDP, Florida",37486
1260275,"Ridgecrest CDP, Florida",3602
1260325,"Ridge Manor CDP, Florida",4820
1260475,"Ridge Wood Heights CDP, Florida",4287
1260550,"Rio CDP, Florida",853
1260562,"Rio Pinar CDP, Florida",5713
1260785,"River Park CDP, Florida",7071
1260835,"River Ridge CDP, Florida",5157
1260950,"Riverview CDP, Florida",95338
1260975,"Riviera Beach city, Florida",34702
1261500,"Rockledge city, Florida",27305
1261615,"Roeville CDP, Florida",568
1261807,"Roosevelt Gardens CDP, Florida",3034
1261875,"Roseland CDP, Florida",1514
1261937,"Rotonda CDP, Florida",9325
1262100,"Royal Palm Beach village, Florida",38962
1262118,"Royal Palm Estates CDP, Florida",3663
1262275,"Ruskin CDP, Florida",25530
1262425,"Safety Harbor city, Florida",17803
1262500,"St. Augustine city, Florida",14515
1262525,"St. Augustine Beach city, Florida",6933
1262550,"St. Augustine Shores CDP, Florida",9340
1262562,"St. Augustine South CDP, Florida",5431
1262625,"St. Cloud city, Florida",51158
1262650,"St. George Island CDP, Florida",863
1262675,"St. James City CDP, Florida",3489
1262775,"St. Leo town, Florida",1218
1262800,"St. Lucie Village town, Florida",802
1262825,"St. Marks city, Florida",244
1262885,"St. Pete Beach city, Florida",9587
1263000,"St. Petersburg city, Florida",261338
1263225,"Samoset CDP, Florida",4399
1263362,"Samsula-Spruce Creek CDP, Florida",5637
1263375,"San Antonio city, Florida",1286
1263425,"San Carlos Park CDP, Florida",17961
1263435,"San Castle CDP, Florida",3756
1263650,"Sanford city, Florida",59700
1263700,"Sanibel city, Florida",7319
1264175,"Sarasota city, Florida",56919
1264325,"Sarasota Springs CDP, Florida",15854
1264400,"Satellite Beach city, Florida",10873
1264525,"Sawgrass CDP, Florida",4841
1264547,"Schall Circle CDP, Florida",1284
1264725,"Sea Ranch Lakes village, Florida",574
1264825,"Sebastian city, Florida",25107
1264875,"Sebring city, Florida",10377
1264925,"Seffner CDP, Florida",8362
1264975,"Seminole city, Florida",18657
1265100,"Seminole Manor CDP, Florida",2688
1265200,"Seville CDP, Florida",897
1265225,"Sewall's Point town, Florida",2099
1265385,"Shady Hills CDP, Florida",12252
1265425,"Shalimar town, Florida",888
1265525,"Sharpes CDP, Florida",3221
1266000,"Siesta Key CDP, Florida",5573
1266062,"Silver Lake CDP, Florida",1954
1266175,"Silver Springs Shores CDP, Florida",9031
1266425,"Sky Lake CDP, Florida",7331
1266725,"Sneads town, Florida",2016
1266875,"Solana CDP, Florida",894
1266925,"Sopchoppy city, Florida",480
1266975,"Sorrento CDP, Florida",366
1267163,"South Apopka CDP, Florida",7381
1267175,"South Bay city, Florida",5158
1267192,"South Beach CDP, Florida",3429
1267258,"South Bradenton CDP, Florida",25227
1267266,"South Brooksville CDP, Florida",4200
1267270,"Southchase CDP, Florida",15314
1267325,"South Daytona city, Florida",12879
1267355,"Southeast Arcadia CDP, Florida",8272
1267425,"Southgate CDP, Florida",7817
1267450,"South Gate Ridge CDP, Florida",6232
1267462,"South Highpoint CDP, Florida",5435
1267550,"South Miami city, Florida",12046
1267575,"South Miami Heights CDP, Florida",37119
1267650,"South Palm Beach town, Florida",1296
1267675,"South Pasadena city, Florida",5088
1267725,"South Patrick Shores CDP, Florida",6842
1267887,"South Sarasota CDP, Florida",5283
1268100,"South Venice CDP, Florida",13907
1268135,"Southwest Ranches town, Florida",7921
1268275,"Springfield city, Florida",9319
1268350,"Spring Hill CDP, Florida",111076
1268365,"Springhill CDP, Florida",107
1268375,"Spring Lake CDP, Florida",554
1268435,"Spring Ridge CDP, Florida",371
1268487,"Stacey Street CDP, Florida",568
1268525,"Starke city, Florida",5393
1268625,"Steinhatchee CDP, Florida",782
1268800,"Stock Island CDP, Florida",4416
1268875,"Stuart city, Florida",16161
1268950,"Sugarmill Woods CDP, Florida",9082
1269025,"Sumatra CDP, Florida",131
1269250,"Sun City Center CDP, Florida",24286
1269275,"Suncoast Estates CDP, Florida",4592
1269555,"Sunny Isles Beach city, Florida",21942
1269700,"Sunrise city, Florida",94060
1269812,"Sunset CDP, Florida",15871
1270075,"Surfside town, Florida",5725
1270345,"Sweetwater city, Florida",20865
1270525,"Taft CDP, Florida",1263
1270600,"Tallahassee city, Florida",191279
1270675,"Tamarac city, Florida",65874
1270700,"Tamiami CDP, Florida",56225
1271000,"Tampa city, Florida",387916
1271075,"Tangelo Park CDP, Florida",2975
1271100,"Tangerine CDP, Florida",2722
1271150,"Tarpon Springs city, Florida",25176
1271225,"Tavares city, Florida",16752
1271250,"Tavernier CDP, Florida",2132
1271300,"Taylor Creek CDP, Florida",4010
1271400,"Temple Terrace city, Florida",26539
1271525,"Tequesta village, Florida",6071
1271564,"The Acreage CDP, Florida",40177
1271567,"The Crossings CDP, Florida",22441
1271569,"The Hammocks CDP, Florida",61516
1271580,"The Meadows CDP, Florida",4430
1271625,"The Villages CDP, Florida",79372
1271725,"Thonotosassa CDP, Florida",14460
1271741,"Three Lakes CDP, Florida",15614
1271758,"Three Oaks CDP, Florida",4281
1271800,"Tice CDP, Florida",5092
1271825,"Tierra Verde CDP, Florida",3437
1271842,"Tiger Point CDP, Florida",3360
1271850,"Tildenville CDP, Florida",447
1271867,"Timber Pines CDP, Florida",5198
1271900,"Titusville city, Florida",45932
1272145,"Town 'n' Country CDP, Florida",87338
1272325,"Treasure Island city, Florida",6889
1272350,"Trenton city, Florida",2151
1272425,"Trilby CDP, Florida",336
1272442,"Trinity CDP, Florida",11493
1272875,"Tyndall AFB CDP, Florida",2779
1273025,"Umatilla city, Florida",3750
1273075,"Union Park CDP, Florida",12052
1273163,"University CDP (Hillsborough County), Florida",48436
1273172,"University CDP (Orange County), Florida",35777
1273287,"University Park CDP, Florida",26620
1273312,"Upper Grand Lagoon CDP, Florida",17550
1273675,"Valparaiso city, Florida",5145
1273700,"Valrico CDP, Florida",37980
1273725,"Vamo CDP, Florida",4564
1273900,"Venice city, Florida",23086
1273950,"Venice Gardens CDP, Florida",8171
1274125,"Vernon city, Florida",728
1274150,"Vero Beach city, Florida",16857
1274200,"Vero Beach South CDP, Florida",23333
1274235,"Verona Walk CDP, Florida",2612
1274368,"Viera East CDP, Florida",11796
1274370,"Viera West CDP, Florida",11369
1274498,"Villano Beach CDP, Florida",2564
1274512,"Villas CDP, Florida",13072
1274562,"Vineyards CDP, Florida",3891
1274575,"Virginia Gardens village, Florida",2311
1274625,"Wabasso CDP, Florida",530
1274635,"Wabasso Beach CDP, Florida",1775
1274700,"Wacissa CDP, Florida",447
1274775,"Wahneta CDP, Florida",4862
1274925,"Waldo city, Florida",825
1274975,"Wallace CDP, Florida",2467
1275175,"Warm Mineral Springs CDP, Florida",5390
1275200,"Warrington CDP, Florida",14351
1275225,"Washington Park CDP, Florida",1685
1275275,"Watergate CDP, Florida",3216
1275300,"Watertown CDP, Florida",3082
1275375,"Wauchula city, Florida",4803
1275425,"Waukeenah CDP, Florida",280
1275450,"Wausau town, Florida",447
1275475,"Waverly CDP, Florida",997
1275600,"Webster city, Florida",726
1275612,"Wedgefield CDP, Florida",8180
1275625,"Weeki Wachee city, Florida",2
1275641,"Weeki Wachee Gardens CDP, Florida",1138
1275725,"Wekiwa Springs CDP, Florida",23512
1275750,"Welaka town, Florida",693
1275812,"Wellington village, Florida",64396
1275875,"Wesley Chapel CDP, Florida",58208
1276050,"West Bradenton CDP, Florida",4065
1276062,"Westchase CDP, Florida",23923
1276075,"Westchester CDP, Florida",29778
1276087,"West DeLand CDP, Florida",3970
1276290,"Westgate CDP, Florida",9783
1276417,"Westlake city, Florida",52
1276481,"West Lealman CDP, Florida",14891
1276487,"West Little River CDP, Florida",32897
1276500,"West Melbourne city, Florida",22225
1276525,"West Miami city, Florida",7788
1276582,"Weston city, Florida",70614
1276600,"West Palm Beach city, Florida",109767
1276658,"West Park city, Florida",15012
1276675,"West Pensacola CDP, Florida",21056
1276700,"West Perrine CDP, Florida",9826
1276740,"West Samoset CDP, Florida",6921
1276937,"West Vero Corridor CDP, Florida",8292
1276950,"Westview CDP, Florida",11247
1276975,"Westville town, Florida",323
1277075,"Westwood Lakes CDP, Florida",11510
1277100,"Wewahitchka city, Florida",1875
1277137,"Whiskey Creek CDP, Florida",5022
1277275,"White City CDP, Florida",4464
1277400,"White Springs town, Florida",746
1277467,"Whitfield CDP (Manatee County), Florida",3743
1277470,"Whitfield CDP (Santa Rosa County), Florida",294
1277675,"Wildwood city, Florida",6838
1277735,"Williamsburg CDP, Florida",7823
1277825,"Williston city, Florida",2699
1277837,"Williston Highlands CDP, Florida",2106
1277862,"Willow Oak CDP, Florida",7236
1278000,"Wilton Manors city, Florida",12630
1278025,"Wimauma CDP, Florida",8358
1278050,"Windermere town, Florida",3430
1278110,"Windsor CDP, Florida",218
1278225,"Winter Beach CDP, Florida",2570
1278250,"Winter Garden city, Florida",43648
1278275,"Winter Haven city, Florida",41248
1278300,"Winter Park city, Florida",30522
1278325,"Winter Springs city, Florida",36342
1278340,"Wiscon CDP, Florida",700
1278500,"Woodlawn Beach CDP, Florida",2977
1278700,"Woodville CDP, Florida",2754
1278740,"World Golf Village CDP, Florida",18327
1278775,"Worthington Springs town, Florida",357
1278800,"Wright CDP, Florida",23965
1278900,"Yalaha CDP, Florida",1129
1278925,"Yankeetown town, Florida",590
1278975,"Yeehaw Junction CDP, Florida",203
1279175,"Yulee CDP, Florida",12754
1279200,"Zellwood CDP, Florida",3166
1279225,"Zephyrhills city, Florida",15573
1279231,"Zephyrhills North CDP, Florida",2859
1279237,"Zephyrhills South CDP, Florida",5637
1279243,"Zephyrhills West CDP, Florida",5287
1279250,"Zolfo Springs town, Florida",1892
1300184,"Abbeville city, Georgia",2793
1300408,"Acworth city, Georgia",22534
1300436,"Adairsville city, Georgia",4856
1300576,"Adel city, Georgia",5289
1300660,"Adrian city, Georgia",650
1300828,"Ailey city, Georgia",624
1300996,"Alamo town, Georgia",3346
1301024,"Alapaha town, Georgia",765
1301052,"Albany city, Georgia",73478
1301248,"Aldora town, Georgia",44
1301472,"Allenhurst city, Georgia",742
1301500,"Allentown city, Georgia",123
1301612,"Alma city, Georgia",3437
1301696,"Alpharetta city, Georgia",65590
1301808,"Alston town, Georgia",180
1301948,"Alto town, Georgia",1249
1302060,"Ambrose city, Georgia",266
1302116,"Americus city, Georgia",15503
1302256,"Andersonville city, Georgia",198
1302536,"Appling CDP, Georgia",921
1302564,"Arabi town, Georgia",617
1302592,"Aragon city, Georgia",1455
1302648,"Arcade city, Georgia",1515
1302844,"Argyle town, Georgia",163
1302928,"Arlington city, Georgia",1405
1303124,"Arnoldsville city, Georgia",398
1303236,"Ashburn city, Georgia",3684
1303440,"Athens-Clarke County unified government (balance), Georgia",124719
1304000,"Atlanta city, Georgia",488800
1304084,"Attapulgus city, Georgia",657
1304140,"Auburn city, Georgia",7481
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",197191
1304252,"Austell city, Georgia",7205
1304392,"Avalon town, Georgia",204
1304448,"Avera city, Georgia",255
1304644,"Avondale Estates city, Georgia",3144
1304840,"Baconton city, Georgia",1121
1304896,"Bainbridge city, Georgia",12199
1304980,"Baldwin city, Georgia",3517
1305036,"Ball Ground city, Georgia",2131
1305344,"Barnesville city, Georgia",6650
1305680,"Bartow town, Georgia",225
1305708,"Barwick city, Georgia",237
1306016,"Baxley city, Georgia",4697
1306688,"Bellville city, Georgia",102
1306884,"Belvedere Park CDP, Georgia",15441
1307248,"Berkeley Lake city, Georgia",1839
1307304,"Berlin city, Georgia",709
1307612,"Bethlehem town, Georgia",942
1307640,"Between town, Georgia",289
1308200,"Bishop town, Georgia",341
1308284,"Blackshear city, Georgia",3489
1308480,"Blairsville city, Georgia",724
1308536,"Blakely city, Georgia",4652
1308844,"Bloomingdale city, Georgia",2715
1308928,"Blue Ridge city, Georgia",1157
1308956,"Bluffton town, Georgia",107
1309040,"Blythe town, Georgia",688
1309068,"Bogart town, Georgia",1440
1309272,"Bonanza CDP, Georgia",3603
1309460,"Boston city, Georgia",1318
1309488,"Bostwick city, Georgia",314
1309544,"Bowdon city, Georgia",2565
1309656,"Bowersville town, Georgia",559
1309712,"Bowman city, Georgia",866
1309852,"Boykin CDP, Georgia",39
1310076,"Braselton town, Georgia",11452
1310104,"Braswell town, Georgia",322
1310132,"Bremen city, Georgia",6394
1310608,"Brinson town, Georgia",177
1310860,"Bronwood town, Georgia",251
1310944,"Brookhaven city, Georgia",53819
1311000,"Brooklet city, Georgia",1667
1311056,"Brooks town, Georgia",527
1311504,"Broxton city, Georgia",1279
1311560,"Brunswick city, Georgia",16122
1311616,"Buchanan city, Georgia",1281
1311672,"Buckhead town, Georgia",222
1311728,"Buena Vista city, Georgia",2113
1311784,"Buford city, Georgia",16143
1312120,"Butler city, Georgia",1656
1312232,"Byromville town, Georgia",497
1312260,"Byron city, Georgia",5149
1312344,"Cadwell town, Georgia",553
1312400,"Cairo city, Georgia",9446
1312456,"Calhoun city, Georgia",16940
1312484,"Calvary CDP, Georgia",113
1312512,"Camak town, Georgia",127
1312624,"Camilla city, Georgia",5126
1312834,"Candler-McAfee CDP, Georgia",24011
1312932,"Canon city, Georgia",1003
1312960,"Canoochee CDP, Georgia",48
1312988,"Canton city, Georgia",28166
1313184,"Carl town, Georgia",191
1313212,"Carlton city, Georgia",440
1313352,"Carnesville city, Georgia",755
1313492,"Carrollton city, Georgia",26570
1313688,"Cartersville city, Georgia",20870
1314108,"Cave Spring city, Georgia",1143
1314192,"Cecil city, Georgia",300
1314472,"Cedar Springs CDP, Georgia",90
1314500,"Cedartown city, Georgia",9999
1314920,"Centerville city, Georgia",7751
1315026,"Centralhatchee town, Georgia",345
1315172,"Chamblee city, Georgia",29232
1315508,"Chatsworth city, Georgia",4261
1315552,"Chattahoochee Hills city, Georgia",2872
1315585,"Chattanooga Valley CDP, Georgia",3186
1315648,"Chauncey city, Georgia",359
1315844,"Cherry Log CDP, Georgia",40
1315900,"Chester town, Georgia",2102
1315984,"Chickamauga city, Georgia",3249
1316460,"Clarkesville city, Georgia",1754
1316544,"Clarkston city, Georgia",12750
1316600,"Claxton city, Georgia",2665
1316656,"Clayton city, Georgia",1968
1316796,"Clermont town, Georgia",901
1316824,"Cleveland city, Georgia",3920
1316908,"Climax city, Georgia",203
1317272,"Cobbtown city, Georgia",383
1317328,"Cochran city, Georgia",4921
1317496,"Cohutta city, Georgia",566
1317552,"Colbert city, Georgia",583
1317580,"Coleman CDP, Georgia",22
1317776,"College Park city, Georgia",14501
1317832,"Collins city, Georgia",459
1318000,"Colquitt city, Georgia",2274
1319000,"Columbus city, Georgia",195739
1319084,"Comer city, Georgia",1271
1319112,"Commerce city, Georgia",6858
1319168,"Concord city, Georgia",338
1319280,"Conley CDP, Georgia",5783
1319336,"Conyers city, Georgia",15986
1319392,"Coolidge city, Georgia",489
1319616,"Cordele city, Georgia",10752
1319728,"Cornelia city, Georgia",4375
1319830,"Country Club Estates CDP, Georgia",8194
1320064,"Covington city, Georgia",13967
1320288,"Crawford city, Georgia",947
1320316,"Crawfordville city, Georgia",516
1320550,"Crooked Creek CDP, Georgia",452
1320848,"Culloden city, Georgia",239
1320932,"Cumming city, Georgia",6309
1321017,"Cusseta-Chattahoochee County unified government, Georgia",10560
1321072,"Cuthbert city, Georgia",3520
1321184,"Dacula city, Georgia",5919
1321240,"Dahlonega city, Georgia",6773
1321268,"Daisy city, Georgia",245
1321324,"Dallas city, Georgia",13321
1321380,"Dalton city, Georgia",33571
1321436,"Damascus city, Georgia",191
1321632,"Danielsville city, Georgia",748
1321688,"Danville town, Georgia",251
1321716,"Darien city, Georgia",2230
1321744,"Dasher town, Georgia",937
1321800,"Davisboro city, Georgia",1983
1321912,"Dawson city, Georgia",4225
1321940,"Dawsonville city, Georgia",2882
1322024,"Dearing town, Georgia",624
1322052,"Decatur city, Georgia",24002
1322080,"Deenwood CDP, Georgia",2579
1322108,"Deepstep town, Georgia",105
1322304,"Demorest city, Georgia",1973
1322388,"Denton city, Georgia",149
1322472,"De Soto city, Georgia",180
1322724,"Dewy Rose CDP, Georgia",185
1322752,"Dexter town, Georgia",832
1322976,"Dillard city, Georgia",319
1323200,"Dock Junction CDP, Georgia",7454
1323284,"Doerun city, Georgia",818
1323368,"Donalsonville city, Georgia",2424
1323480,"Dooling town, Georgia",151
1323536,"Doraville city, Georgia",10228
1323872,"Douglas city, Georgia",11556
1323900,"Douglasville city, Georgia",33052
1324264,"Druid Hills CDP, Georgia",8365
1324376,"Dublin city, Georgia",15828
1324488,"Dudley city, Georgia",720
1324600,"Duluth city, Georgia",29370
1324768,"Dunwoody city, Georgia",49371
1324796,"Du Pont town, Georgia",178
1324876,"Dutch Island CDP, Georgia",1162
1324964,"Eagle Grove CDP, Georgia",0
1325300,"East Dublin city, Georgia",2708
1325356,"East Ellijay city, Georgia",591
1325440,"East Griffin CDP, Georgia",1386
1325552,"Eastman city, Georgia",5135
1325692,"East Newnan CDP, Georgia",810
1325720,"East Point city, Georgia",34957
1326084,"Eatonton city, Georgia",6603
1326156,"Echols County consolidated government, Georgia",3981
1326224,"Edge Hill city, Georgia",8
1326448,"Edison city, Georgia",1327
1326616,"Elberton city, Georgia",4343
1326980,"Ellaville city, Georgia",1585
1327008,"Ellenton town, Georgia",196
1327092,"Ellijay city, Georgia",2436
1327344,"Emerson city, Georgia",1754
1327512,"Empire CDP, Georgia",376
1327596,"Enigma town, Georgia",1245
1327708,"Ephesus city, Georgia",357
1327736,"Epworth CDP, Georgia",195
1327932,"Eton city, Georgia",1221
1327988,"Euharlee city, Georgia",4309
1328044,"Evans CDP, Georgia",37114
1328296,"Experiment CDP, Georgia",3352
1328380,"Fairburn city, Georgia",15295
1328492,"Fairmount city, Georgia",958
1328520,"Fair Oaks CDP, Georgia",9518
1328632,"Fairview CDP, Georgia",6540
1328744,"Fargo city, Georgia",256
1328968,"Fayetteville city, Georgia",17586
1329528,"Fitzgerald city, Georgia",8812
1330088,"Flemington city, Georgia",661
1330312,"Flovilla city, Georgia",835
1330340,"Flowery Branch city, Georgia",7497
1330424,"Folkston city, Georgia",4910
1330536,"Forest Park city, Georgia",19723
1330732,"Forsyth city, Georgia",4077
1330816,"Fort Gaines city, Georgia",895
1330956,"Fort Oglethorpe city, Georgia",9954
1331068,"Fort Stewart CDP, Georgia",9643
1331096,"Fort Valley city, Georgia",8742
1331292,"Franklin city, Georgia",912
1331320,"Franklin Springs city, Georgia",783
1331684,"Funston city, Georgia",565
1331908,"Gainesville city, Georgia",39991
1332048,"Garden City city, Georgia",8885
1332188,"Garfield city, Georgia",154
1332384,"Gay town, Georgia",92
1332412,"Geneva town, Georgia",144
1332482,"Georgetown CDP, Georgia",12951
1332528,"Georgetown-Quitman County unified government, Georgia",2289
1332748,"Gibson city, Georgia",869
1332860,"Gillsville city, Georgia",270
1332916,"Girard town, Georgia",202
1333336,"Glennville city, Georgia",5066
1333392,"Glenwood city, Georgia",487
1333896,"Good Hope city, Georgia",398
1333980,"Gordon city, Georgia",1990
1334260,"Graham city, Georgia",230
1334428,"Grantville city, Georgia",3236
1334512,"Gray city, Georgia",3250
1334596,"Grayson city, Georgia",3989
1334876,"Greensboro city, Georgia",3339
1335016,"Greenville city, Georgia",855
1335240,"Gresham Park CDP, Georgia",8877
1335324,"Griffin city, Georgia",22748
1335716,"Grovetown city, Georgia",14053
1335800,"Gumbranch city, Georgia",299
1335814,"Gumlog CDP, Georgia",2287
1335884,"Guyton city, Georgia",2125
1336024,"Hagan city, Georgia",1274
1336052,"Hahira city, Georgia",2950
1336220,"Hamilton city, Georgia",1867
1336276,"Hampton city, Georgia",7735
1336416,"Hannahs Mill CDP, Georgia",3448
1336472,"Hapeville city, Georgia",6577
1336528,"Haralson town, Georgia",185
1336668,"Hardwick CDP, Georgia",3329
1336696,"Harlem city, Georgia",3137
1336920,"Harrison town, Georgia",492
1337144,"Hartwell city, Georgia",4356
1337396,"Hawkinsville city, Georgia",5294
1337564,"Hazlehurst city, Georgia",4147
1337788,"Helen city, Georgia",574
1337910,"Henderson CDP, Georgia",2219
1338040,"Hephzibah city, Georgia",3977
1338105,"Heron Bay CDP, Georgia",3130
1338124,"Hiawassee city, Georgia",815
1338348,"Higgston town, Georgia",428
